customer_id,age,gender,item_purchased,category,purchase_amount_(usd),location,size,color,season,review_rating,subscription_status,payment_method,shipping_type,discount_applied,promo_code_used,previous_purchases,preferred_payment_method,frequency_of_purchases,price,date,month,year
204,70,Male,Scarf,Accessories,38,Anna Nagar,S,Yellow,Fall,3.2,Yes,PayPal,Next Day Air,Yes,Yes,18,Bank Transfer,Weekly,3154,2021-12-14,12,2021
64,33,Male,Sunglasses,Accessories,79,Meenakshi Nagar,L,Lavender,Winter,2.7,Yes,Credit Card,2-Day Shipping,Yes,Yes,43,Credit Card,Weekly,6557,2021-11-27,11,2021
2552,29,Male,Shoes,Footwear,32,Thirumangalam,M,Maroon,Winter,4.1,No,Cash,Next Day Air,No,No,40,Debit Card,Annually,2656,2022-09-03,9,2022
1960,46,Male,Shoes,Footwear,90,CS Nagar,M,White,Fall,3.1,No,Credit Card,Store Pickup,No,No,7,Credit Card,Every 3 Months,7470,2021-09-04,9,2021
1424,51,Male,Sandals,Footwear,60,BB Kulam,S,Black,Fall,3.5,No,PayPal,Free Shipping,Yes,Yes,12,Venmo,Every 3 Months,4980,2024-10-16,10,2024
3478,53,Female,Handbag,Accessories,85,BB Kulam,S,Teal,Spring,3.8,No,PayPal,Store Pickup,No,No,38,Debit Card,Bi-Weekly,7055,2022-08-02,8,2022
453,45,Male,Pants,Clothing,45,BB Kulam,M,Violet,Summer,3.3,Yes,Debit Card,Express,Yes,Yes,39,PayPal,Fortnightly,3735,2024-10-12,10,2024
2584,69,Male,Jeans,Clothing,93,Palangantham,M,Lavender,Fall,2.5,No,Bank Transfer,Next Day Air,No,No,9,Cash,Weekly,7719,2023-08-30,8,2023
460,63,Male,Hat,Accessories,30,Thirumangalam,L,Black,Winter,3.8,Yes,Debit Card,Standard,Yes,Yes,27,PayPal,Fortnightly,2490,2021-09-05,9,2021
1462,54,Male,Sunglasses,Accessories,95,Palangantham,S,Red,Summer,5.0,No,PayPal,2-Day Shipping,Yes,Yes,42,Venmo,Quarterly,7885,2021-05-27,5,2021
3160,62,Female,Hat,Accessories,89,Chinna Chokikulam,L,Pink,Winter,2.9,No,PayPal,Store Pickup,No,No,4,Bank Transfer,Quarterly,7387,2023-08-26,8,2023
2772,58,Female,Jacket,Outerwear,52,KK Nagar,S,Beige,Summer,3.1,No,Cash,2-Day Shipping,No,No,12,Bank Transfer,Fortnightly,4316,2023-10-26,10,2023
2553,61,Male,Belt,Accessories,48,Thirumangalam,XL,Purple,Spring,3.2,No,Cash,2-Day Shipping,No,No,13,Credit Card,Annually,3984,2024-07-13,7,2024
